venue_id,slug,venue_name,alternate_names,venue_type,claim_status,listing_status,is_verified,country,region,city,area,full_address,postal_code,latitude,longitude,google_maps_url,directions_short,phone_primary,phone_secondary,email,website_url,facebook_url,instagram_url,viber_url,reclub_url,external_booking_url,external_booking_provider,court_count,indoor_outdoor,covered_uncovered,surface_type,has_dedicated_lines,has_permanent_nets,has_open_play,has_coaching,has_court_rental,is_beginner_friendly,allows_walkins,amenity_air_conditioning,amenity_tournament_lighting,amenity_parking,amenity_showers,amenity_lockers,amenity_seating_area,amenity_water_refill,amenity_cafe_food,amenity_paddle_rental,amenity_pro_shop,amenity_wifi,amenity_covered_terrace,price_from_amount,price_from_unit,price_from_label,additional_rates,pricing_currency,pricing_notes,pricing_last_verified_at,hours_monday_open,hours_monday_close,hours_monday_note,hours_tuesday_open,hours_tuesday_close,hours_tuesday_note,hours_wednesday_open,hours_wednesday_close,hours_wednesday_note,hours_thursday_open,hours_thursday_close,hours_thursday_note,hours_friday_open,hours_friday_close,hours_friday_note,hours_saturday_open,hours_saturday_close,hours_saturday_note,hours_sunday_open,hours_sunday_close,hours_sunday_note,hours_timezone,hours_last_verified_at,custom_tagline,custom_highlights,custom_caveats,editorial_note,main_image_url,gallery_image_urls,image_credits,source_urls,data_completeness,data_quality_notes,last_verified_at,primary_pricing_model,booking_slot_minutes,booking_advance_window_days,accepts_walk_ins,pricing_blocks_last_verified_at
ph-zone-sports-center-makati,zone-sports-center,Zone Sports Center,,multi_sport_venue,unclaimed,published,FALSE,Philippines,Metro Manila,Makati,Bel-Air / Malugay,"7224 Malugay St cor. Buendia, Makati City, Metro Manila",,,,https://maps.google.com/?q=Zone+Sports+Center+Makati,,0945-204-3013,02-8893-1600,thezonemakati@gmail.com,,https://www.facebook.com/thezonesportscenter/,https://www.instagram.com/zonesportscenter?igsh=bm1zdGJ1cjl3OHVr,,https://reclub.co/m/C6IA2T?utm_source=chatgpt.com,https://zonemakati.skedda.com/,skedda,6,indoor,covered,hard,unknown,unknown,TRUE,TRUE,TRUE,TRUE,unknown,TRUE,TRUE,TRUE,TRUE,unknown,TRUE,unknown,TRUE,unknown,unknown,unknown,unknown,200,,Per Player,,PHP,PPF/open play pricing; separate event pricing may vary,,10:00,13:00,,10:00,13:00,,10:00,13:00,,09:30,12:30,,10:00,13:00,,,,,,,,Asia/Manila,,Strongest publicly verifiable Makati pickleball venue,Affordable and clean convenient central Makati location|well-maintained infrastructure|good parking|cool AC restrooms with showers|active community with tournaments and open plays,"often fully booked, especially weekends (need to reserve days in advance)|reservation system occasionally misplaces bookings per user reviews|lockers restricted to members only (non-members cannot rent)|primary badminton venue with portable nets for pickleball (not dedicated lines on all courts)|central Makati = traffic/parking challenges during peak hours|entrance fee stacks on top of court and club fees",Primary real venue is Zone Sports Center; Makati Pickleball Club is the community/open-play identity using the same venue,https://drive.google.com/file/d/1ZRw5Fubd3NKv-70x3sGOtm0pzJstm7wi/view?usp=drive_link,https://drive.google.com/file/d/1R18XDu2tXnd5qN3SIX1XY0BxBYvCenoE/view?usp=drive_link|https://drive.google.com/file/d/1qpqvPKs7S-7k-olUhb-c60CK5dJeQKyX/view?usp=drive_link,,https://www.facebook.com/thezonesportscenter/|https://www.pickleheads.com/courts/ph/metro-manila/makati/makati-pickleball-club|https://www.pickleheads.com/courts/ph/metro-manila/makati/makati-pickleball-club,complete,Saturday hours unknown | Sunday hours unknown | no official website listed,,session_per_player,,,unknown,
ph-makati-pickleball-club-makati,makati-pickleball-club,Makati Pickleball Club,MPC; Makati PB Club,community_court,unclaimed,published,FALSE,Philippines,Metro Manila,Makati,Bel-Air,"Home court: The Zone Sports Center, 7224 Malugay Street cor. Buendia, Bel-Air, Makati City 1209 (shared facility with The Zone Sports Center)",,,,https://maps.google.com/?q=7224+Malugay+Street+Makati,,63 956 126 6138,,makatipickleball@gmail.com,,https://www.facebook.com/p/Makati-Pickleball-Club-100088660429202/,,,,,,2,indoor,covered,wood (the zone's courts),unknown,unknown,TRUE,TRUE,FALSE,TRUE,unknown,TRUE,TRUE,TRUE,TRUE,unknown,TRUE,unknown,TRUE,TRUE,unknown,unknown,unknown,200,,Per Player (Open Play Session),,PHP,₱200/player club fee per pickleball.ph PDF. Reclub listings show ₱220 club fee + ₱80 entrance fee for similar open plays at The Zone. Fees paid via GCash (per Reclub listings: 09956581192) or BPI transfer. Price stacks on top of facility entrance.,2026-05-14,10:00,13:00,,09:30,12:30,Open play session,10:00,13:00,,09:30,12:30,Open play session,10:00,13:00,,,,,,,,Asia/Manila,,The resident pickleball club at The Zone Sports Center 7224 Malugay; weekday morning open plays MWF 10am-1pm and Tue/Thu 9:30am-12:30pm at ₱200/player + entrance.,Home of the Makati pickleball community|organized weekday morning sessions|skill-level rotations|welcoming to all levels|experienced community and coaches|well-lit wooden courts via The Zone,Weekday morning schedule doesn't work for 9-to-5 workers|dual fees required (club fee + facility entrance fee)|no dedicated courts — shares facility with badminton|bookings and communication primarily through Facebook/Reclub (no formal website)|no weekend-only schedule from the club itself,"Makati Pickleball Club is the RESIDENT PICKLEBALL CLUB operating out of The Zone Sports Center — courts. However, pickleball.ph PDF explicitly lists them as SEPARATE entries with different contacts, fees, and management (Stella Almeda-Lopez Lavy for MPC vs...",shared venue with The zone,https://drive.google.com/file/d/1AJx_TBwtsLXSfdVC8A7YUzsomM_vAPI-/view?usp=drive_link|shared venue with The zone|shared venue with The zone,,https://www.pickleball.ph/uploads/1/2/5/9/125919777/places_to_play_09.01.25.pdf|https://www.facebook.com/p/Makati-Pickleball-Club-100088660429202/|https://www.pickleheads.com/courts/ph/metro-manila/makati/zone-sports-center,needs_review,Saturday hours unknown | Sunday hours unknown | no official website listed,2026-05-14,session_per_player,,,unknown,
ph-magallanes-village-association-makati,magallanes-village-association,Magallanes Village Association,Magallanes Village Pickleball,community_court,unclaimed,published,FALSE,Philippines,Metro Manila,Makati,Magallanes Village,"Magallanes Village, Makati City, Metro Manila",,,,https://maps.google.com/?q=Magallanes+Village+Makati,,0917 875 6216 (assoc office),0917 811 8140 (pickleball contact reported by community),cgparas@gmail.com,,https://www.facebook.com/magallanesvillageassociation/,,,,,,3,indoor,covered,wood,unknown,unknown,TRUE,TRUE,TRUE,TRUE,unknown,unknown,TRUE,unknown,unknown,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,200,,Per Player,,PHP,Publicly listed one-time fee,,,,,18:00,22:00,,,,,,,,18:00,22:00,,14:00,18:00,,,,,Asia/Manila,,Structured village pickleball venue in Makati,Affordable recurring sessions,No dedicated reviews for pickleball,,https://drive.google.com/file/d/1ExtdbL60DFybjwojBP9JUJwjjuhf3rUL/view?usp=drive_link,,,https://www.pickleheads.com/courts/ph/metro-manila/makati/magallanes-village-association-inc|https://www.pickleheads.com/courts/ph/metro-manila/makati/magallanes-village-association-inc,complete,Sunday hours unknown | no official website listed,,session_per_player,,,unknown,
ph-the-3rd-shot-homecourt-makati,the-3rd-shot-homecourt,The 3rd Shot Homecourt,The 3rd Shot,dedicated_pickleball,unclaimed,published,FALSE,Philippines,Metro Manila,Makati,Gen. Jacinto St,"1238 Gen. Jacinto St, Makati City, Metro Manila",,,,https://maps.google.com/?q=The+3rd+Shot+Homecourt+Makati,,0927-128-0846,,,,https://www.facebook.com/p/The-3rd-Shot-100093462617241/,,https://invite.viber.com/?g2=AQB6ypo%2FnnL4C1KROtgElTV6b8JlOCnidqBdSH5OdxheDKlMY2Esbt3gLhVCmFBA,,https://invite.viber.com/?g2=AQB6ypo%2FnnL4C1KROtgElTV6b8JlOCnidqBdSH5OdxheDKlMY2Esbt3gLhVCmFBA,viber,1,indoor,covered,acrylic / concrete / hard,unknown,unknown,TRUE,TRUE,TRUE,TRUE,unknown,unknown,TRUE,TRUE,unknown,unknown,TRUE,unknown,TRUE,unknown,unknown,unknown,unknown,,,One-Time Fee,,PHP,One-time fee required; booking/open play varies by organizer,,,,,,,,,,,,,,,,,,,,,,,Asia/Manila,,One of Makati's strongest dedicated pickleball courts,Dedicated court|coaching friendly,Only 1 court,,https://drive.google.com/file/d/1zEJCSUFmCh4g5rjDtI8dol3yEEqsDW9i/view?usp=drive_link,https://drive.google.com/file/d/1spDHARswvwrFNe1XOs_AbTa9sFXmxtEk/view?usp=drive_link|https://drive.google.com/file/d/1kkIfKznZavZhSz52x7enaUkc5XR0TxG3/view?usp=drive_link,,https://www.facebook.com/p/The-3rd-Shot-100093462617241/|https://www.pickleheads.com/courts/ph/metro-manila/makati/the-3rd-shot-homecourt|https://www.pickleheads.com/courts/ph/metro-manila/makati/the-3rd-shot-homecourt,needs_review,missing price | Saturday hours unknown | Sunday hours unknown | no official website listed,,entry_fee,,,unknown,
ph-the-pickle-spot-makati-makati,the-pickle-spot-makati,The Pickle Spot Makati,,dedicated_pickleball,unclaimed,published,FALSE,Philippines,Metro Manila,Makati,Pasong Tirad / Davila,"2492 Pasong Tirad cor. Davila, Makati City, Metro Manila",,,,https://maps.google.com/?q=The+Pickle+Spot+Makati,,,,thepicklespot.makati@gmail.com,,https://www.facebook.com/p/The-Pickle-Spot-Makati-61577283254550/,,,https://reclub.co/clubs/%40the-pickle-spot-makati,,,,,,unknown,unknown,unknown,TRUE,TRUE,TRUE,TRUE,unknown,unknown,TRUE,unknown,unknown,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,,,Pay to Play,,PHP,Open play pricing/schedule varies by organizer,,,,,,,,,,,,,,,,,08:00,10:00,,08:00,10:00,,Asia/Manila,,Active Makati pickleball community venue,Active and beginner-friendly,Details vary by organizer/event,Verified dedicated pickleball venue/community in Makati,https://drive.google.com/file/d/1rBAtpbRd7A-PBXZrdv3N_O35o-zueq9G/view?usp=drive_link,https://drive.google.com/file/d/1Wnmcrz222nGMR3P-3sFdqbHRaCovYjhW/view?usp=drive_link|https://drive.google.com/file/d/13qLKOjLpLtG8KgWufZg67Yr4c76kAqlo/view?usp=drive_link|https://drive.google.com/file/d/1fzZdoifLDzYFK9anJ8sxgfyTDxaXA-eX/view?usp=drive_link,,https://www.facebook.com/p/The-Pickle-Spot-Makati-61577283254550/|https://reclub.co/clubs/%40the-pickle-spot-makati,needs_review,missing price | missing court count | no official website listed,,unknown,,,unknown,
ph-racket-yard-makati,racket-yard,Racket Yard,Racket Yard,multi_sport_venue,unclaimed,published,FALSE,Philippines,Metro Manila,Makati,San Antonio / Yakal,"3F D' Arcade Food Park, 7433 Yakal St, San Antonio, Makati City, Metro Manila",,,,https://maps.google.com/?q=Racket+Yard+Makati,,0969-173-1198,,,,https://www.facebook.com/racketyardph/,,,,,,,indoor,covered,unknown,unknown,unknown,TRUE,TRUE,TRUE,TRUE,unknown,unknown,TRUE,TRUE,unknown,unknown,TRUE,unknown,unknown,TRUE,unknown,unknown,unknown,,,Pay to Play,,PHP,Verify directly with venue,,,,,,,,,,,,,,,,,,,,,,,Asia/Manila,,Makati practice-oriented pickleball venue,Café + practice setup,Limited structured pricing/court data,,https://drive.google.com/file/d/1vCvOoRFaeNKc2esV01tnAEZibuvz74U_/view?usp=drive_link,https://drive.google.com/file/d/1ucsGBPqdT2X_6d606fJhWkXrtoY_UDgA/view?usp=drive_link|https://drive.google.com/file/d/1_CwmnujKvEmYI3jSlDxDNue3Gb3thMoM/view?usp=drive_link|https://drive.google.com/file/d/1ZvBRn7UFeK6gsTCGLheviLsecU8m-DYs/view?usp=drive_link,,https://www.facebook.com/racketyardph/,needs_review,missing price | missing court count | Saturday hours unknown | Sunday hours unknown | no official website listed,,unknown,,,unknown,
ph-makati-sports-club-makati,makati-sports-club,Makati Sports Club,MSC,private_club,unclaimed,published,FALSE,Philippines,Metro Manila,Makati,Salcedo Village,"L.P. Leviste St cor. Gallardo St, Makati City, Metro Manila",,,,https://maps.google.com/?q=Makati+Sports+Club,,0917-570-2991,(02) 8817-8731,markcasal2004@yahoo.com,https://makatisportsclub.com/,,,,,,,2,outdoor,uncovered,hard,unknown,unknown,unknown,TRUE,unknown,unknown,unknown,unknown,TRUE,TRUE,TRUE,unknown,TRUE,unknown,TRUE,unknown,unknown,unknown,unknown,,,Private / Invitation,,PHP,Invitation only / private access,,,,,,,,,,,,,,,,,,,,,,,Asia/Manila,,Verified private Makati pickleball venue,Established private club,Private access only,Verified private outdoor club venue with pickleball courts,https://drive.google.com/file/d/18DDA3bmXbKYYwto4cCBnKz0KVCc_mFfC/view?usp=drive_link,https://drive.google.com/file/d/1cS8q6N2XhCuXBmGNc5fZ-y5lZojEDlVk/view?usp=drive_link,,https://www.pickleheads.com/courts/ph/metro-manila/makati/makati-sports-club|https://www.pickleheads.com/courts/ph/metro-manila/makati/makati-sports-club,complete,missing price | Saturday hours unknown | Sunday hours unknown,,membership,,,unknown,
ph-rockwell-club-amorsolo-square-makati,rockwell-club-amorsolo-square,"Rockwell Club, Amorsolo Square",Rockwell Club,private_club,unclaimed,published,FALSE,Philippines,Metro Manila,Makati,Rockwell Center / Amorsolo Square,"Amorsolo Square, Rockwell Center, Makati City, Metro Manila",,,,https://maps.google.com/?q=Rockwell+Club+Amorsolo+Square,,0917-521-7625,,,https://www.therockwellclub.com/,,,,,,,2,indoor,covered,hard / wood,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,TRUE,TRUE,unknown,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,,,Private,,PHP,Private club pricing not public,,,,,,,,,,,,,,,,,,,,,,,Asia/Manila,,Verified private Rockwell pickleball venue,Indoor wood/hard courts,Private access only,Verified private indoor club venue with pickleball courts,https://drive.google.com/file/d/19o4kn3OlRplP1iOcg0Y0e1ErQFmr-v-Q/view?usp=drive_link,,,https://www.pickleheads.com/courts/ph/metro-manila/makati-city/rockwell-club-amorsolo-square|https://www.pickleheads.com/courts/ph/metro-manila/makati-city/rockwell-club-amorsolo-square,complete,missing price | Saturday hours unknown | Sunday hours unknown,,membership,,,unknown,
ph-sequoia-pickleball-club-taguig,sequoia-pickleball-club,Sequoia Pickleball Club,Sequoia PB Club,condo_facility,unclaimed,published,FALSE,Philippines,Metro Manila,Taguig,Taguig,"Two Serendra, BGC",,,,https://maps.google.com/?q=Sequoia+Pickleball+Club+Taguig,,,,,,,https://www.instagram.com/sequoia_pickleballclub/,,https://reclub.co/clubs/%40sequoia-pickleball-club,,,3,indoor,covered,wood,unknown,unknown,TRUE,TRUE,TRUE,TRUE,unknown,unknown,TRUE,TRUE,unknown,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,,,Private / One-Time Fee,,PHP,Private venue; pricing not public,,17:00,21:00,,17:00,21:00,,17:00,21:00,,17:00,21:00,,17:00,21:00,,17:00,21:00,,17:00,21:00,,Asia/Manila,,One of Taguig's strongest indoor pickleball venues,Indoor wood courts / quality setup,Private access restrictions,Verified private indoor pickleball club in BGC / Forbes Town,https://drive.google.com/file/d/1ZRSlTrEkJ1i9-KPvxn9mqzWk93yBhcp9/view?usp=drive_link,,,https://reclub.co/clubs/%40sequoia-pickleball-club|https://www.pickleheads.com/courts/ph/metro-manila/taguig/sequoia-pickleball-club,complete,missing price | no official website listed,,membership,,,unknown,
ph-dragonsmash-taguig,dragonsmash,DragonSmash,DragonSmash Taguig,multi_sport_venue,unclaimed,published,FALSE,Philippines,Metro Manila,Taguig,Levi Mariano / Acacia,"G3QG+36P, Levi Mariano Ave, Taguig, Metro Manila",,,,https://maps.google.com/?q=DragonSmash+Taguig,,0917-182-0580,0917-703-1054,dragonsmash.pb@gmail.com,https://dragonsmashph.com/,https://www.facebook.com/DragonSmashPH/,,,,,,6,indoor,covered,wood / acrylic,unknown,unknown,TRUE,TRUE,TRUE,TRUE,unknown,unknown,TRUE,TRUE,TRUE,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,350,,Per Hour,,PHP,Publicly listed court rate,2026-05-14,07:00,24:00,,07:00,24:00,,07:00,24:00,,07:00,24:00,,07:00,24:00,,07:00,24:00,,07:00,24:00,,Asia/Manila,,Major Taguig indoor pickleball facility,Large indoor/many courts,Can be busy at peak times,,https://drive.google.com/file/d/1ewe4mkYK9mLDZgks_vg0otkW7HfNWDbQ/view?usp=drive_link,https://drive.google.com/file/d/1yolWV7WMjEyl2WDdQEWdpO198hWFZd88/view?usp=drive_link|https://drive.google.com/file/d/1VbCGjuzMt2SG4em9pdb_gLtQdJ1SF0ZM/view?usp=drive_link,,https://dragonsmashph.com/|https://www.pickleheads.com/courts/ph/metro-manila/taguig/dragonsmash|https://www.pickleheads.com/courts/ph/metro-manila/taguig/dragonsmash,complete,Saturday hours unknown | Sunday hours unknown,2026-05-14,court_hour,,,unknown,
