Feature Area,Included Features,Description,User Value,Main Screens,Implementation Detail,Status,Current Status Notes
Cold-start & Landing,Welcome surface; pre-auth CTAs,"Shows a marketing-style Landing screen before authentication with Get Started and Sign In CTAs.",Lower friction for first-time visitors than dropping directly onto Login.,Landing,App.tsx initial screen is landing; LandingScreen calls goToLogin for both CTAs.,Added 2026-05-27,"Marketing copy is local; no analytics/AB testing yet."
Authentication,Email/password login; logout,"Provides a branded login entry point and a local logout path from the authenticated app. The login form includes email, password, password visibility toggle, submit button, and social login placeholders.","Lets users enter the app, switch accounts, or exit their session.","Login, Profile, Settings","LoginScreen calls onLoginSuccess; App.tsx routes to onboarding or home. handleLogout resets isLoggedIn and returns to Landing.",Active (logout returns to Landing from 2026-05-27),"Demo-only auth; logout is wired locally. No API auth request, token, session refresh, or persisted login state."
Onboarding,Welcome flow; location setup; skill setup,"Guides first-time users through setup with a welcome step, city/ZIP input, and skill-level selector from 2.0 to 5.0. Users can skip setup.","Captures the player context needed for future game, court, and club recommendations while keeping entry friction low.",Onboarding,"OnboardingScreen uses local step state; skill selection backed by FormTierPicker + lib/skillTiers; can open DuprExplainerSheet for context.",Active (uses new form library + DUPR explainer sheet),UI-only; onboarding values are not persisted and reset with app state.
Home Dashboard,Personalized home; quick actions; featured game; streak card,"Shows the default post-login dashboard with greeting, quick action tiles, a featured game, discoverable game cards, and progress/streak messaging.",Gives players a fast daily starting point and routes them into the highest-value workflows.,Home,"HomeScreen uses quickActions and demoGames; actions navigate to Nearby, Games, Clubs, Create Game, and Game Details.",Active (redesigned 2026-05-27),Static demo content with wired screen navigation.
Game Discovery,Game listings; date browsing; game filter sheet,"Allows users to browse playable sessions through game cards / GameRow, My/Upcoming/Completed segmented control, horizontal date chips, and the GameFilterSheet bottom sheet.","Helps players find games that match timing, skill level, format, distance, and interest.","Home, Games, Court Details","GamesScreen uses myGames, upcomingGames, completedGames, dateChips, and tab state. GameFilterSheet opens as bottom sheet and emits onApply.",Active (filter is now bottom sheet from 2026-05-27),Static game arrays. Date/filter selections are visual/local and are not applied to real queries.
Game Details and Participation,Game profile; join/leave; game chat,"Presents full game context including schedule, skill range, player count, organizer, court, description, participants, join button, and chat composer.",Converts discovery into participation and supports lightweight pre-game coordination.,Game Details,"GameDetailsScreen receives optional gameId, renders static detail content, and toggles local joined state. Chat messages and input are presentational.",Active (redesigned 2026-05-27),Detail screen is wired but data is fixed. Join state and chat are local-only with no participant or messaging backend.
Game Creation,Create game form; post-create actions,"Lets organizers define a new session with title, court, date/time, skill range (FormTierPicker), player limit, visibility, and description, then choose View Game or Invite Players.",Supports user-generated play sessions and a natural follow-up path for inviting players.,"Create Game, Invite Players, Game Details","CreateGameScreen uses useForm + FormField/FormSelect/FormTierPicker. Success actions navigate to game-details or invite-players using placeholder ID new. Triggered from TabBar Create (no longer FAB).",Active (uses new form library from 2026-05-27),"Local-only; no saved game record, validation service, or returned backend ID."
Player Invites,Suggested player selection; share link; send invites,Displays a share-link card and selectable suggested players before showing an invite success state.,Helps organizers seed attendance and share new games beyond passive discovery.,Invite Players,InvitePlayersScreen tracks selected players in component state and routes back to Game Details after sending.,Active,"Static suggested players. No invite delivery, clipboard integration, or backend mutation confirmed."
Court Discovery,Nearby list; map view; locate control; court filter sheet,"Supports court browsing through list/map modes (Segmented), quick filter chips, a Leaflet map, browser geolocation locate control, and the NearbyFilterSheet bottom sheet.","Helps players find nearby places to play based on distance, access, surface, amenities, and location.",Nearby,"NearbyScreen uses demoCourts, local activeTab, local viewMode (Segmented), Austin demo coordinates, and Leaflet map.locate(). NearbyFilterSheet opens as bottom sheet.",Active (filter is now bottom sheet from 2026-05-27),Static Austin court data. Map frontend works with demo coordinates; filters are UI-only.
Court Details,Venue profile; directions; related games,"Shows venue hero, address, rating, favorite/share actions, amenities, directions, and games this week (GameRow).",Helps users evaluate a court and move from venue discovery to actual play.,Court Details,"CourtDetailsScreen renders static venue content, opens a Google Maps placeholder, and routes to Games or Game Details.",Active (uses GameRow from 2026-05-27),Static detail. Receives optional courtId but does not fetch by ID.
Club Discovery and Management,My clubs; discover clubs; create club; club details,"Covers club browsing, featured club discovery, join CTAs, club creation, and a club detail view with About, Events, Members, and Chat tabs.",Helps players find recurring communities and start new groups around shared play preferences.,"Clubs, Create Club, Club Details",ClubsScreen uses myClubs and discoverClubs; CreateClubScreen uses local multi-step form state; ClubDetailsScreen uses local activeTab.,Active (redesigned 2026-05-27),Static club/member/message data. Join/create behavior is presentational or local-only.
Search,Cross-entity search; recent searches; categorized results,"Provides full-screen search across courts, games, clubs, and players, including recent search chips and result categories.",Lets users jump directly to known entities or resume recent discovery paths.,Search,SearchScreen uses local query state and static result catalogs; result clicks route by entity type.,Active,"Static results. No search API, debounce, loading, empty, or error states."
Notifications,Notification inbox; mark all read; notification click-through,"Shows invites, joins, reminders, and club updates with read/unread styling and a mark-all-read action.",Keeps users aware of activity and lets them act on updates.,Notifications,NotificationsScreen initializes from initialNotifications; markAllRead updates local state; item clicks can navigate to related screens.,Active,Static initial notifications. Read state is local and not durable.
Profile and Settings,Player profile; edit profile; account/settings menu,"Provides player identity, skill/location summary, stats, edit profile form (now using FormField/FormTierPicker), settings sections, support links, notifications link, and logout.","Gives users a central account hub for identity, preferences, and session control.","Profile, Edit Profile, Settings",ProfileScreen shows static Riley Pickler data; EditProfileScreen uses useForm + FormField/FormTierPicker; SettingsScreen renders static section definitions; logout returns to Landing.,Active (uses form library; logout to Landing from 2026-05-27),Mostly static/local. Some settings rows may not map to implemented screens.
PWA and App Lifecycle,Install prompt; service worker auto-update,Supports installable app behavior and checks for updated service worker builds with a reload guard.,Improves mobile app-like access and keeps installed builds current.,Global,"InstallPrompt handles browser install prompt/iOS copy; pwaUpdate.ts registers virtual:pwa-register, checks on pageshow/visibility/load, and polls every 30 minutes.",Active,Wired globally. Dismissal is local to component state.
Offline Awareness,Offline banner; demo offline mode,"Top-of-app banner appears when the browser reports offline or when the demo offline mode is selected.",Reassures users that the app knows it is offline rather than appearing broken.,Global,"OfflineBanner subscribes to online/offline events; DemoStateProvider can force the offline state for review.",Added 2026-05-27,"No offline write queue yet; reads still need cached responses to be useful."
Review / Demo State,Runtime switch between normal / empty / loading / error / offline,"A globally mounted DemoStateControl widget lets reviewers toggle the app state to inspect failure surfaces without code changes.","Lets stakeholders see what every failure mode looks like in seconds.",Global,DemoStateProvider in App.tsx wraps all children; DemoStateControl exposes the state switcher.,Added 2026-05-27,Should be gated behind an env flag for production builds.
Theme,Theme application,Applies and reacts to the current theme at the document root.,Foundation for future dark mode / accessibility themes.,Global,useTheme hook runs in AppInner and applies tokens at root.,Added 2026-05-27,Theme switcher UI not yet exposed to users.
Skill Tiers,Single source of truth for skill levels,Centralized skill tier definitions and helpers used by onboarding and profile.,Consistent tier labels and ranges across the app.,"Onboarding, Profile, Create Game",lib/skillTiers.ts feeds FormTierPicker.,Added 2026-05-27,—
