venue_id,pricing_model,label,price,currency,tier_audience,days,time_start,time_end,duration_minutes,group_size_min,group_size_max,venue_confidence,notes,source_quote,data_quality_notes
ph-abra-high-school-gym-bangued,session_per_player,Open Play · Walk-in,50,PHP,walk_in,mon|wed|fri,17:00,19:30,,,,high,2 Indoor Courts,"Abra High School Gym Natividad St. Bangued Abra Bangued 2 Indoor Courts MWF, 5p-7:30p p50/player June Vinuan","All data sourced from the Philippine Pickleball Federation PDF (Sept 1, 2025). Pickleheads.com was blocked. Schedule is MWF 5p–7:30p at ₱50/player; no other tiers mentioned. Tuesday/Thursday/Saturday/Sunday hours are not listed."
ph-activate-sports-ph-one-ayala-makati,court_hour,Standard Rate,1100,PHP,,,10:00,21:00,60,,,medium,Listed on Venyu.ph as 'Regular Hours' rate; venue is marked Unverified on Venyu,Standard Rate ₱1100/hour · Regular Hours · 10:00 AM – 9:00 PM,"Single rate of ₱1100/hour sourced from Venyu.ph, which marks this listing as ""Unverified""; no peak/off-peak or member/non-member tiers are shown. Operating hours (10 AM–9 PM) are stated on Venyu but no day-of-week breakdown is given, so the same hours are assumed daily. Facebook and Instagram sources yielded no additional pricing detail."
ph-albay-pickleball-club-emmalene-iimuro-tennis-club-legazpi-city,session_per_player,Open Play · Per Player (Saturday session),100,PHP,walk_in,sat,15:00,16:00,60,,,low,Single historical meet on Reclub (Mar 14); this meet has ended. Currency shown as '$100.00' on Reclub but assumed PHP given Philippine venue context.,Per Player $100.00,Pricing is derived from a single ended Reclub meet listing showing '$100.00 per player' — currency displayed as '$' but assumed PHP given Philippine venue; no other pricing or confirmed recurring hours are available. Facebook and group pages were login-gated with no further rate details visible. Operating hours are entirely unconfirmed beyond this one historical session slot.
ph-athlete-central-cainta,court_hour,Pickleball Court,500,PHP,,,,,60,,,high,Standard pickleball court rental,Pickleball 60 min ... ₱500.00,"Prices are clearly listed on the booking.page source with explicit amounts and 60-min durations. The legacy notes mention ₱200–₱250/player open-play sessions but no such rate appears in any verifiable source text, so it was excluded. KTV pricing (₱1,500/hr) was omitted as it is not pickleball-related."
ph-athlete-central-cainta,court_hour,Pickleball Pro Court (USAPA Hard Floor),600,PHP,,,,,60,,,high,Tournament-grade USAPA hard floor surface; exceptional ball bounce and consistent speed,Pickleball Pro Court (Hard Floor) ... ₱600.00 ... Enjoy a true tournament-grade playing surface built to official USAPA standards.,"Prices are clearly listed on the booking.page source with explicit amounts and 60-min durations. The legacy notes mention ₱200–₱250/player open-play sessions but no such rate appears in any verifiable source text, so it was excluded. KTV pricing (₱1,500/hr) was omitted as it is not pickleball-related."
ph-athlete-central-cainta,court_hour,Family Court (Pickleball or Badminton),750,PHP,,,,,60,,,high,Extra-wide court suitable for families and groups; can be used for Pickleball or Badminton,"Family Court – Best for Families & Groups 60 min ... ₱750.00 ... Enjoy extra space for the whole family or friends, perfect for Pickleball or Badminton.","Prices are clearly listed on the booking.page source with explicit amounts and 60-min durations. The legacy notes mention ₱200–₱250/player open-play sessions but no such rate appears in any verifiable source text, so it was excluded. KTV pricing (₱1,500/hr) was omitted as it is not pickleball-related."
ph-athlete-central-ph-cainta,session_per_player,Tickle my Pickle · Back of House (Beginner Open Play),200,PHP,walk_in,tue,21:00,01:00,240,,22,medium,"Night owl beginner-friendly open play, Courts #5 & 6. Max 22 pax. GCash payment first to confirm: +639282378306 (D.K.Z.S). This was a specific dated event (Mar 10); recurrence not confirmed.",Price: 200/person … Time: 9 PM to 1 AM … PAX: Max of 22 only,"The ₱200/player rate is directly confirmed via a verbatim Reclub event listing (Tickle my Pickle, Mar 10 9PM–1AM). The ₱300/player Pro Court rate (Billy Arceo, 7–11PM) comes solely from the legacy normaliser notes with no live source page available to verify; all booking URLs and the Reclub club page returned 404/not-found errors. The 24/7 hours are confirmed by both the Facebook page (""Always open"") and the venue website title (""Athlete Central Cainta 24/7"")."
ph-athlete-central-ph-cainta,session_per_player,Pro Court Open Play · Billy Arceo,300,PHP,walk_in,,19:00,23:00,240,,,medium,Rate sourced from legacy normaliser notes only — no live source page confirmed. Court label 'Pro Court'. GCash: 09771773535 (Wella De Leon).,PHP 300/player (Pro Court 7-11PM via Billy Arceo),"The ₱200/player rate is directly confirmed via a verbatim Reclub event listing (Tickle my Pickle, Mar 10 9PM–1AM). The ₱300/player Pro Court rate (Billy Arceo, 7–11PM) comes solely from the legacy normaliser notes with no live source page available to verify; all booking URLs and the Reclub club page returned 404/not-found errors. The 24/7 hours are confirmed by both the Facebook page (""Always open"") and the venue website title (""Athlete Central Cainta 24/7"")."
ph-bacnotan-pickleball-club-first-ever-pb-court-in-bacnotan,session_per_player,Open Play · Per Player,150,PHP,walk_in,,18:00,22:00,,,,high,Daily 6PM–10PM open play schedule. Honesty Court — payment via GCash 0917 188 3164.,"Open Play Schedule: • Daily, 6 PM – 10 PM • ₱150 per player","All pricing tiers are verbatim from the Reclub listing. The ""$150.00"" display on Reclub is a currency symbol rendering artifact — clearly ₱150 PHP given the peso signs used throughout the body text. Hours confirmed as 24/7 by both Facebook (""Always open"", ""Open 24/7"") and allpickleballcourts.com (00:00–00:00 all days). ""Succeeding hours ₱200/hr"" is ambiguous as to whether it applies only to open play overruns or also to court rentals — noted in the row."
ph-bacnotan-pickleball-club-first-ever-pb-court-in-bacnotan,court_hour,Court Rental · Below 4 Players,200,PHP,walk_in,,,,60,1,3,high,Court reservation rate for small groups. Payment via GCash 0917 188 3164.,Court Reservation Rates: • ₱200/hour for groups below 4 players,"All pricing tiers are verbatim from the Reclub listing. The ""$150.00"" display on Reclub is a currency symbol rendering artifact — clearly ₱150 PHP given the peso signs used throughout the body text. Hours confirmed as 24/7 by both Facebook (""Always open"", ""Open 24/7"") and allpickleballcourts.com (00:00–00:00 all days). ""Succeeding hours ₱200/hr"" is ambiguous as to whether it applies only to open play overruns or also to court rentals — noted in the row."
ph-bacnotan-pickleball-club-first-ever-pb-court-in-bacnotan,session_per_player,Court Rental · 4+ Players (Per Head),50,PHP,walk_in,,,,60,4,,high,Per-head rate when group is 4 or more players. Payment via GCash 0917 188 3164.,Court Reservation Rates: • ₱50/head for groups 4 players and above,"All pricing tiers are verbatim from the Reclub listing. The ""$150.00"" display on Reclub is a currency symbol rendering artifact — clearly ₱150 PHP given the peso signs used throughout the body text. Hours confirmed as 24/7 by both Facebook (""Always open"", ""Open 24/7"") and allpickleballcourts.com (00:00–00:00 all days). ""Succeeding hours ₱200/hr"" is ambiguous as to whether it applies only to open play overruns or also to court rentals — noted in the row."
ph-bacnotan-pickleball-club-first-ever-pb-court-in-bacnotan,court_hour,Succeeding Hours,200,PHP,walk_in,,,,60,,,high,Rate for hours beyond the open play session block.,Succeeding hours: ₱200/hour,"All pricing tiers are verbatim from the Reclub listing. The ""$150.00"" display on Reclub is a currency symbol rendering artifact — clearly ₱150 PHP given the peso signs used throughout the body text. Hours confirmed as 24/7 by both Facebook (""Always open"", ""Open 24/7"") and allpickleballcourts.com (00:00–00:00 all days). ""Succeeding hours ₱200/hr"" is ambiguous as to whether it applies only to open play overruns or also to court rentals — noted in the row."
