Flow,Starting Screen,Steps,Destination Screen,User Outcome,Implementation Detail,Status,Production Consideration
Cold-start to login,Landing,"App opens on Landing, user taps Get Started or Sign In.",Login,User reaches the authentication entry.,App.tsx initial screen is landing; both Landing CTAs call goToLogin.,Added 2026-05-27,—
First login with onboarding,Login,"Submit login form, enter onboarding, complete or skip setup.",Home,User reaches the main app after initial setup.,handleLoginSuccess checks needsOnboarding; handleOnboardingComplete routes to home.,Active,Persist onboarding completion per user account.
Returning login,Login,Submit login form after onboarding has already been completed in memory.,Home,User bypasses onboarding.,needsOnboarding controls whether Home or Onboarding is shown.,Active,Replace local state with server/session state.
Main tab navigation,Any tab screen,"Tap Home, Nearby, Clubs, or Profile (Create fires onCreate instead of routing).",Selected tab,User moves between primary app areas.,TabBar calls handleTabPress; Create slot calls handleFabClick which navigates to create-game.,Active (TabBar absorbed create action 2026-05-27),Consider URL routing for deep links and browser history.
Back navigation,Detail/form screen,Tap screen back button.,Previous screen,User returns to prior screen context.,history array in App.tsx stores previous Screen objects. Each screen now owns its own back arrow (no global TopBar).,Active (per-screen header),Current stack is memory-only and resets on reload.
Create game from TabBar,Any tab screen,"Tap Create in TabBar, complete form, choose post-create action.",Game Details or Invite Players,Organizer creates a session and can invite players.,TabBar.onCreate fires handleFabClick which calls navigate('create-game'); success uses placeholder ID new.,Active (was FAB; now TabBar.onCreate from 2026-05-27),Wire to create-game API and real created game ID.
Discover game from Home,Home,Tap a game card or featured CTA.,Game Details,Player reviews game details.,HomeScreen routes to game-details with demo ID.,Active,Fetch game by ID from backend.
Browse filtered games,Home or Games,"Open GameFilterSheet, choose options, apply.",Same tab,Player expects a narrowed game list.,GameFilterSheet bottom sheet emits onApply; host screen consumes filter state.,Active (was routed GameFiltersScreen; now bottom sheet from 2026-05-27),Add selected filter state and apply it to game query/list.
Court discovery list/map,Nearby,"Toggle list/map (Segmented), locate user, tap a court.",Court Details,Player reviews a selected court.,Nearby uses local viewMode (Segmented); Leaflet handles map display and locate.,Active,Replace Austin mock data with geospatial court search.
Browse filtered courts,Nearby,"Open NearbyFilterSheet, choose options, apply.",Nearby,User expects narrowed court results.,NearbyFilterSheet bottom sheet emits onApply; host screen consumes filter state.,Active (was routed NearbyFiltersScreen; now bottom sheet from 2026-05-27),"Add filter state, query parameters, and result updates."
Court to game,Court Details,Tap Games or a weekly GameRow card.,Games or Game Details,Player finds play options at a venue.,Court screen routes to games or game-details.,Active,Scope game list to selected court.
Club discovery,Clubs,Open owned/discovered club or create a new club.,Club Details or Create Club,User joins or starts a community.,Club cards route by ID; create CTA routes to form.,Active,Add membership state and create/join endpoints.
Search navigation,Search,"Type query or choose recent result, select result.",Detail screen by type,User jumps directly to entity detail.,"Search results route to game, court, club, or profile-related targets.",Active,Add real search index/API and no-results/loading states.
Notification deep link,Notifications,Tap notification item.,Related detail screen,User acts on app activity.,Notification click handler can call onNavigate.,Active,Store notification target type and target ID from backend.
Profile management,Profile,"Tap Edit Profile, Settings, Notifications, or Logout.","Edit Profile, Settings, Notifications, or Landing",User manages account and preferences.,ProfileScreen settings item IDs drive navigation; logout returns to Landing.,Active (logout now returns to Landing from 2026-05-27),Add full settings screens and persisted profile mutations.
Demo state review,Anywhere,Open DemoStateControl widget and switch mode.,Same screen (re-rendered),Reviewer can see normal/empty/loading/error/offline surfaces of the current screen.,DemoStateProvider context value drives screen-level conditionals; OfflineBanner reacts to offline mode.,Added 2026-05-27,Hide widget in production builds via env flag.
