Component,File,Purpose,Key Props,Used By,Implementation Notes,Status,Improvement Opportunity
App Shell,src/App.tsx,"Owns auth/onboarding state, active screen, history, TabBar visibility, OfflineBanner, InstallPrompt, and DemoStateProvider.",N/A,Entire app.,Uses local Screen union and navigate function. TopBar/FAB/Sidebar removed in May 27 2026 redesign.,Active (redesigned 2026-05-27),Move to route library or persisted app state when deep links are required.
TabBar,src/components/layout/TabBar.tsx,"Bottom navigation for core authenticated screens; also fires the create action via onCreate.","activeTab, onTabPress, onCreate",App shell.,"Renders Home, Nearby, Create, Clubs, Profile with Material Symbol icons. Create slot replaces the old standalone FAB.",Active (updated 2026-05-27),Add aria labels and route awareness if URL routing is added.
FAB,src/components/layout/FAB.tsx,Floating create action for games.,onClick,App shell on Home/Games.,Uses add icon and safe-area bottom offset.,Removed 2026-05-27 (replaced by TabBar.onCreate),N/A.
TopBar,src/components/layout/TopBar.tsx,Reusable top bar component with optional back action.,"showBack, onBack",App shell on tab/detail/form screens.,Contained logo + search/bell/chat icons.,Removed 2026-05-27 (each screen now owns its own header),N/A.
Sidebar,src/components/layout/Sidebar.tsx,Drawer surface for settings/profile shortcuts.,visible/onClose,Tab screens.,Triggered from the legacy TopBar menu icon.,Removed 2026-05-27 (Profile tab handles settings access),N/A.
Icon,src/components/ui/Icon.tsx,Central icon renderer.,"name, size, filled, weight, className, onClick",Most screens/components.,Uses Material Symbols classes and special-case image icons when needed.,Active,Ensure icon font/assets are loaded consistently in production.
Avatar,src/components/ui/Avatar.tsx,Displays user image or generated initials.,"src, name, size, className",Player/profile/member UI.,Falls back to initials when image is missing.,Active,Add loading/error handling for remote avatars.
Button,src/components/ui/Button.tsx,Shared rounded button primitive.,"HTML button props, variant, size, children",Available for screens.,Supports visual variants and touch-friendly sizing.,Active,Increase adoption where screens currently use custom button classes.
Card,src/components/ui/Card.tsx,Shared card container with optional click behavior.,"padding, className, children, onClick",Available for cards.,Adds keyboard Enter behavior when clickable.,Active,Expand keyboard handling to Space for button-like behavior.
Chip,src/components/ui/Chip.tsx,Filter/tag chip primitive.,"selected, variant, onClick, children",Filter sheets, tags.,"Encodes default, primary, secondary, and tertiary variants.",Active,Use consistently in filter sheets to reduce repeated class strings.
Segmented,src/components/ui/Segmented.tsx,Segmented control for binary/N-way toggles.,"options, value, onChange",Map/List toggle on Nearby; My/Upcoming/Completed on Games.,Replaces ad-hoc Chip rows for mutually-exclusive options.,Added 2026-05-27,—
BottomSheet,src/components/ui/BottomSheet.tsx,Shared bottom-sheet primitive.,"visible, onClose, title, children",Filter sheets, invite flow, DuprExplainerSheet.,Slides up from bottom; backdrop dismiss; passes through host safe-area.,Added 2026-05-27,—
CourtIllustration,src/components/ui/CourtIllustration.tsx,Reusable stylized court illustration.,"size, variant",Landing hero, empty states.,SVG-driven; respects reduce-motion.,Added 2026-05-27,—
GameRow,src/components/ui/GameRow.tsx,Compact game list row.,"game, onPress",Games tab compact lists, Court Details > games this week.,Lighter than GameCard for dense lists.,Added 2026-05-27,—
DuprExplainerSheet,src/components/ui/DuprExplainerSheet.tsx,Inline DUPR explainer bottom sheet.,"visible, onClose",Onboarding skill step, profile skill row.,Educational micro-content; non-blocking.,Added 2026-05-27,—
OfflineBanner,src/components/ui/OfflineBanner.tsx,Top-of-app banner shown when offline.,forceShow,App shell.,Listens to browser online/offline events; also forced via demo offline mode.,Added 2026-05-27,—
DemoStateControl,src/components/ui/DemoStateControl.tsx,Floating control for switching demo state.,N/A,Globally mounted by App shell.,Toggles between normal/empty/loading/error/offline. Stakeholder review tool.,Added 2026-05-27,—
Toast,src/components/ui/Toast.tsx,Transient confirmation/error message.,"message, tone, duration",Action confirmations.,Auto-dismisses; respects reduce-motion.,Added 2026-05-27,—
EmptyState,src/components/ui/EmptyState.tsx,Standard empty content placeholder.,"icon, title, description, action",Empty lists across the app.,Supports optional action button.,Active,Add to search/no-results and empty games states.
ErrorState,src/components/ui/ErrorState.tsx,Standard error placeholder.,"title, message, onRetry",API failure surfaces.,Includes retry button when provided.,Active,Use when API integration adds failure states.
LoadingSpinner,src/components/ui/LoadingSpinner.tsx,Standard loading placeholder.,message,—,Animated sync icon.,Removed 2026-05-27 (replaced by LoadingSkeleton),N/A.
LoadingSkeleton,src/components/ui/LoadingSkeleton.tsx,Shape-matched loading placeholders.,"shape, count",Lists and detail screens during fetch.,Reduces perceived latency vs spinner; matches eventual content layout.,Added 2026-05-27,—
InstallPrompt,src/components/ui/InstallPrompt.tsx,PWA install banner for supported browsers.,hasBottomChrome,App shell.,"Handles beforeinstallprompt, iOS prompt copy, install action, and dismiss state.",Active,Persist dismissal if repeated prompts become noisy.
NearbyFilterSheet,src/components/filters/NearbyFilterSheet.tsx,Bottom-sheet filters for court/game discovery on Nearby tab.,"visible, value, onChange, onApply, onClear",Nearby screen.,Replaces routed NearbyFiltersScreen.,Added 2026-05-27,Wire to backend filter parameters.
GameFilterSheet,src/components/filters/GameFilterSheet.tsx,Bottom-sheet filters for game discovery on Home/Games tabs.,"visible, value, onChange, onApply, onClear",Home and Games screens.,Replaces routed GameFiltersScreen.,Added 2026-05-27,Wire to backend filter parameters.
FormField,src/components/forms/FormField.tsx,Labeled input wrapper with error + helper text.,"label, value, onChange, error, helper",Create/edit forms.,Pairs with useForm hook.,Added 2026-05-27,—
