Topic,Question / Requirement,Priority,Needed before owner demo?,Decision / Working Assumption,Owner,Status,Progress
Pricing,"Per-player surcharge (e.g. Pickleball Junction: ₱800 base + ₱100 per extra player) — pricing model must support add-on-per-head, not just flat court rate",Must have,Target-venue dependent,Pricing engine needs base rate + per-additional-player charge as a configurable rule,Product+Dev,Open,
Pricing,Base court price (default hourly rate per court),Must have,Yes,Initial owner app,Product,Open,DONE
Pricing,"Time-based pricing (e.g. price changes after 6 PM)",Must have,Yes,"Configurable per court, tied to schedule",Product,Open,DONE
Pricing,Day-based pricing (weekday vs weekend vs holiday),High,No,Near-term,Product,Open,DONE
Pricing,Member pricing (special rate for venue members),High (if target uses memberships),Target-venue dependent,Member-tier rate override,Product,Open,DONE
Pricing,Court-specific price overrides,Must have,Yes,"Pricing tied to court level, not venue level",Dev,Open,DONE
Pricing,Manual surge adjustment (owner raises/lowers specific slots),High,No,Near-term,Product,Open,
Pricing,Suggested dynamic pricing (demand-based recommendation),Roadmap,No,After enough data; owner stays in control,Product,Deferred,DONE
Pricing,Automated dynamic pricing (opt-in),Later roadmap,No,Opt-in only,Product,Deferred,DONE
Pricing,"Currency, VAT/tax handling, and whether displayed price is inclusive",High,Yes,PH prices usually VAT-inclusive; confirm display convention,Product,Open,DONE
Pricing,Deposit vs full payment vs pay-at-venue at checkout,Must have,Yes,Decide first-demo payment flow,Product+Dev,Open,
Pricing,7% player service fee display (one fee shown; PayMongo 2.5% buried inside),Must have,Yes,Player sees single fee; net ~4.3%,Product,Open,
Pricing,Half-court / split-court pricing (some venues rent half a court),Medium,Target-venue dependent,Court model may need sub-court units,Dev,Open,DONE
Pricing,Open-play / per-session pricing vs whole-court block,High,Confirm with Emmanuel,Is open-play booking live at launch or Phase 2?,Product,Open,DONE
Pricing,Equipment/paddle rental add-ons,Medium,No,Add-on line items at checkout,Product,Open,DONE
Booking,"Manual booking/blocking for phone, Messenger, IG, walk-ins",Must have,Yes,Scheduler must allow staff to block slots from outside channels,Dev,Open,
Booking,"Auto-generated booking link (system-created, optional custom slug)",Must have,Yes,Platform handles uniqueness/routing,Dev,Open,DONE
Booking,"Manual vs automatic approval, configurable per venue/court",High,Yes,Support both modes clearly,Dev,Open,DONE
Booking,"Recurring bookings (weekly regulars, leagues)",High,No,Common in PH open-play culture,Dev,Open,
Booking,Double-booking collision handling for Group B venues already on software,Must have,Yes,Start Group B at Level 2 (request-to-approve) not Level 3,Product+Dev,Open,DONE
Booking,"Cancellation & refund rules (window, fees, no-show policy)",High,Yes,Owner-configurable cancellation policy,Product,Open,DONE
Booking,"Booking modification (reschedule, change court)",Medium,No,Edit existing booking,Dev,Open,DONE
Booking,Overbooking / waitlist for full slots,Medium,No,Capture demand on full slots,Product,Open,DONE
Booking,Buffer/turnover time between bookings,Medium,No,Optional gap per court,Dev,Open,DONE
Venue Setup,Address autocomplete + auto-geocoding (no manual map pin),High,Yes,Google Business Profile-style setup,Dev,Open,DONE
Venue Setup,Multiple venues per owner,Must have,Yes,Owner > Venue hierarchy,Dev,Open,DONE
Venue Setup,Multiple courts per venue,Must have,Yes,Venue > Court hierarchy,Dev,Open,DONE
Venue Setup,"Court details: surface, photos, thumbnail, description",Must have,Yes,Court-level metadata,Dev,Open,DONE
